area,bedrooms,bathrooms,location_rating,age,garage,pool,zone,price
1802,3,2,6,12,2,0,suburban,40362
815,1,1,3,2,1,0,rural,7504
1222,2,1,7,24,3,0,suburban,35898
1704,3,2,7,21,2,0,suburban,44723
3525,7,6,8,23,3,0,luxury,224237
1426,2,1,6,20,2,0,rural,25809
2776,5,4,10,7,0,0,luxury,198328
3556,7,6,10,22,0,1,luxury,291208
4441,8,7,10,7,1,1,luxury,304265
1067,2,1,5,7,1,0,rural,15351
2370,4,3,10,17,3,0,urban,119906
1032,2,1,6,9,2,0,rural,16773
3648,7,6,8,4,2,1,luxury,200150
1829,3,2,10,19,1,0,urban,94233
1824,3,2,7,3,3,0,urban,67061
1065,2,1,6,7,1,0,suburban,26155
1514,3,2,5,22,2,0,suburban,28440
1600,3,2,7,7,2,0,urban,64635
1403,2,1,4,13,1,0,rural,16418
1004,2,1,8,20,3,0,suburban,29315
3678,7,6,9,24,1,0,luxury,237708
1073,2,1,5,9,1,0,rural,16442
1002,2,1,8,9,1,0,suburban,34174
963,1,1,5,11,0,0,rural,13329
2703,5,4,8,10,3,0,luxury,163798
2861,5,4,8,9,1,0,urban,126696
1494,2,1,4,22,1,0,rural,16918
4163,8,7,9,10,2,0,luxury,299781
1099,2,1,4,25,0,0,rural,12930
1604,3,2,7,8,2,0,urban,58699
2635,5,4,8,24,2,0,urban,116963
1112,2,1,5,15,3,0,suburban,20873
1322,2,1,7,10,2,0,suburban,36035
1269,2,1,7,22,1,0,suburban,33945
2522,5,4,10,15,1,0,luxury,206518
1946,3,2,7,24,0,0,suburban,58507
1535,3,2,5,15,0,0,suburban,30161
1087,2,1,6,14,0,0,rural,17670
2826,5,4,9,6,2,0,luxury,174079
3732,7,6,8,14,0,1,luxury,240650
1162,2,1,4,24,3,0,rural,12992
1346,2,1,8,25,1,0,suburban,45983
3132,6,5,9,24,2,0,luxury,194547
1950,3,2,8,15,3,0,suburban,65200
1441,2,1,8,23,1,0,suburban,48324
875,1,1,6,4,2,0,rural,14257
1232,2,1,7,5,0,0,suburban,36453
2678,5,4,8,12,0,0,luxury,147119
2076,4,3,7,25,3,0,urban,78742
1627,3,2,9,24,3,0,urban,80652
1273,2,1,6,4,2,0,rural,20657
1840,3,2,7,15,3,0,urban,69656
1162,2,1,8,17,1,0,suburban,39717
4118,8,7,8,14,0,1,luxury,225526
3285,6,5,10,6,3,1,luxury,254888
758,1,1,5,9,3,0,rural,11318
2781,5,4,7,19,0,0,urban,108457
1577,3,2,7,15,0,0,urban,55266
1723,3,2,5,11,0,0,suburban,34977
879,1,1,3,25,3,0,rural,7343
2917,5,4,10,0,0,0,urban,168166
3207,6,5,9,18,3,1,luxury,205091
792,1,1,6,11,0,0,rural,13057
2336,4,3,10,2,0,0,urban,140470
1796,3,2,5,19,2,0,suburban,36687
1878,3,2,9,8,1,0,urban,88762
1915,3,2,8,22,2,0,suburban,63624
1012,2,1,5,13,0,0,rural,15060
1158,2,1,5,22,0,0,rural,18421
3889,7,6,8,12,3,1,luxury,233626
1897,3,2,9,18,0,0,urban,86069
1093,2,1,6,8,2,0,rural,19019
1119,2,1,6,8,1,0,rural,18140
1489,2,1,5,14,0,0,rural,24268
844,1,1,4,4,3,0,rural,10072
1524,3,2,8,21,1,0,urban,72955
1873,3,2,8,5,1,0,suburban,61683
2994,5,4,7,18,3,0,urban,107057
3450,6,5,9,17,1,1,luxury,213826
2759,5,4,10,4,3,0,urban,159418
1407,2,1,5,17,2,0,suburban,26658
874,1,1,5,15,1,0,rural,12506
1538,3,2,5,9,2,0,suburban,31047
756,1,1,5,14,2,0,rural,12109
1868,3,2,7,24,3,0,suburban,47425
2229,4,3,10,4,3,0,urban,128417
899,1,1,6,4,2,0,rural,14594
1600,3,2,8,4,2,0,suburban,49459
3546,7,6,8,20,3,1,luxury,203313
2957,5,4,8,18,1,1,luxury,190442
1094,2,1,3,0,1,0,rural,10158
2686,5,4,8,5,3,1,luxury,176565
4241,8,7,10,1,2,0,luxury,288849
2052,4,3,10,7,0,0,urban,108214
817,1,1,6,2,3,0,rural,15538
2735,5,4,10,8,0,0,luxury,191505
3386,6,5,8,4,3,1,luxury,194785
1217,2,1,5,16,1,0,suburban,23528
891,1,1,4,5,1,0,rural,9968
2862,5,4,8,11,1,0,urban,135263
1677,3,2,6,12,2,0,suburban,41994
1184,2,1,6,13,1,0,suburban,25926
2440,4,3,7,7,2,0,urban,92347
1455,2,1,6,17,3,0,suburban,38060
1826,3,2,6,2,3,0,suburban,40867
1157,2,1,6,25,3,0,rural,22612
2684,5,4,9,2,3,0,urban,122920
2996,5,4,10,6,3,1,luxury,233118
1650,3,2,6,17,3,0,suburban,40244
2818,5,4,8,8,2,0,urban,128713
2959,5,4,8,10,0,0,luxury,190624
3819,7,6,10,4,1,1,luxury,275184
1741,3,2,6,4,0,0,suburban,45723
1847,3,2,8,5,3,0,suburban,64286
1204,2,1,8,20,0,0,suburban,38642
1396,2,1,4,3,3,0,rural,17122
890,1,1,4,5,2,0,rural,10994
1607,3,2,7,2,0,0,urban,56464
1810,3,2,10,21,2,0,urban,107645
1106,2,1,3,2,3,0,rural,9199
1961,3,2,5,16,3,0,suburban,37000
1119,2,1,5,12,2,0,rural,17187
1002,2,1,4,18,0,0,rural,10911
1454,2,1,6,21,1,0,suburban,32632
1133,2,1,3,5,3,0,rural,9431
4010,8,7,8,7,3,0,luxury,233884
2594,5,4,9,21,2,0,urban,121675
1753,3,2,7,23,1,0,urban,73824
847,1,1,4,13,1,0,rural,9264
937,1,1,4,24,3,0,rural,11953
2229,4,3,7,3,3,0,urban,85645
1103,2,1,5,18,3,0,rural,17431
1300,2,1,6,15,1,0,rural,23454
1306,2,1,6,3,1,0,rural,22454
1144,2,1,3,9,0,0,rural,9654
2286,4,3,9,25,3,0,urban,114783
2880,5,4,10,3,2,0,urban,146491
1629,3,2,6,14,1,0,suburban,36163
740,1,1,3,3,1,0,rural,6445
1269,2,1,3,20,1,0,rural,11726
1020,2,1,5,19,0,0,rural,14931
4345,8,7,8,11,0,1,luxury,254326
1414,2,1,5,8,1,0,suburban,29578
2478,4,3,8,19,0,0,urban,100599
1494,2,1,7,10,3,0,suburban,43842
1393,2,1,6,21,2,0,suburban,30702
1085,2,1,5,6,1,0,rural,15924
750,1,1,5,0,3,0,rural,12169
877,1,1,4,13,0,0,rural,11554
1514,3,2,7,12,3,0,suburban,40060
3522,7,6,8,25,2,0,luxury,200261
3029,6,5,9,14,1,0,luxury,184604
953,1,1,6,3,1,0,rural,18524
2479,4,3,10,21,2,0,urban,126292
1211,2,1,6,22,1,0,suburban,28057
2606,5,4,8,6,0,0,urban,122995
1132,2,1,4,0,0,0,rural,14390
2411,4,3,8,11,2,0,urban,105690
2042,4,3,8,4,2,0,urban,88932
1467,2,1,8,18,0,0,suburban,49569
2591,5,4,7,20,0,0,urban,101348
1181,2,1,5,6,1,0,rural,16068
1684,3,2,5,18,0,0,suburban,35751
702,1,1,3,9,1,0,rural,6086
2955,5,4,9,11,0,1,luxury,211551
1219,2,1,7,18,0,0,suburban,37277
1705,3,2,10,13,3,0,urban,95625
1868,3,2,7,11,3,0,suburban,56592
2312,4,3,8,10,0,0,urban,94312
1407,2,1,4,11,0,0,rural,18359
2626,5,4,10,19,3,1,luxury,203870
1970,3,2,7,18,0,0,suburban,59510
1208,2,1,6,16,1,0,suburban,28218
1476,2,1,4,12,0,0,rural,18074
1908,3,2,9,14,3,0,urban,88326
2250,4,3,10,9,3,0,urban,122680
1242,2,1,6,12,2,0,suburban,31556
1092,2,1,5,22,0,0,rural,16971
1819,3,2,5,7,0,0,suburban,36727
1454,2,1,6,10,0,0,rural,26502
3560,7,6,8,8,3,1,luxury,223578
4108,8,7,10,14,2,1,luxury,320454
2585,5,4,10,9,2,1,luxury,207039
1168,2,1,6,1,0,0,rural,21961
3278,6,5,10,10,2,1,luxury,245590
3749,7,6,8,20,0,1,luxury,203038
1276,2,1,6,0,0,0,rural,21415
2867,5,4,10,1,0,0,urban,157425
3393,6,5,10,12,2,1,luxury,245075
4379,8,7,9,4,0,1,luxury,307673
2942,5,4,9,1,3,0,urban,135836
1659,3,2,8,3,3,0,suburban,50594
895,1,1,4,16,2,0,rural,10680
3759,7,6,9,7,3,1,luxury,260194
2913,5,4,8,11,2,0,urban,130592
1094,2,1,4,11,2,0,rural,11866
3682,7,6,10,24,3,1,luxury,260281
1591,3,2,7,7,2,0,urban,65471
1552,3,2,8,24,2,0,urban,74153
1786,3,2,7,23,3,0,suburban,49505
2659,5,4,9,17,1,1,luxury,186705
990,1,1,4,8,0,0,rural,12759
1047,2,1,7,23,2,0,suburban,30335
1579,3,2,10,23,1,0,urban,86961
752,1,1,5,15,2,0,rural,12016
1339,2,1,7,1,0,0,suburban,38775
1817,3,2,5,21,3,0,suburban,33674
1954,3,2,7,24,0,0,suburban,51306
1869,3,2,8,12,0,0,suburban,53917
3254,6,5,9,24,1,1,luxury,222959
3888,7,6,9,11,3,1,luxury,255753
2533,5,4,9,20,2,0,luxury,182888
1140,2,1,7,5,2,0,suburban,35024
1773,3,2,5,10,0,0,suburban,34613
4224,8,7,10,20,3,0,luxury,343267
1911,3,2,5,13,3,0,suburban,37053
1714,3,2,7,3,3,0,suburban,44699
1036,2,1,7,10,3,0,suburban,29384
3583,7,6,9,12,1,1,luxury,245821
1225,2,1,5,3,3,0,rural,19635
1018,2,1,5,8,0,0,suburban,22051
1201,2,1,6,14,3,0,rural,23026
1115,2,1,4,6,0,0,rural,12684
2621,5,4,10,8,2,0,urban,131422
3586,7,6,9,13,0,1,luxury,218644
1248,2,1,6,21,2,0,rural,24689
3227,6,5,9,17,0,1,luxury,212376
2545,5,4,7,13,0,0,urban,100014
4260,8,7,8,22,1,0,luxury,230931
1905,3,2,8,15,2,0,urban,86923
2616,5,4,9,22,3,0,urban,117898
1320,2,1,3,14,3,0,rural,12801
3323,6,5,9,15,3,0,luxury,205526
2958,5,4,7,2,0,0,urban,111959
1838,3,2,7,4,1,0,urban,68167
1226,2,1,4,25,2,0,rural,13394
1460,2,1,5,3,2,0,suburban,27043
1405,2,1,7,1,1,0,suburban,43127
2968,5,4,8,20,0,0,urban,128159
1811,3,2,9,5,1,0,urban,89627
981,1,1,6,10,2,0,rural,16597
2617,5,4,8,25,0,0,urban,109417
899,1,1,5,1,2,0,rural,14255
2119,4,3,8,17,2,0,urban,102259
788,1,1,3,4,3,0,rural,6963
2593,5,4,7,10,2,0,urban,109556
3631,7,6,8,25,0,1,luxury,199259
2506,5,4,10,25,2,0,urban,136278
1186,2,1,8,19,2,0,suburban,36514
1357,2,1,3,21,3,0,rural,12701
1255,2,1,7,24,3,0,suburban,35190
894,1,1,3,19,3,0,rural,7269
1751,3,2,9,24,3,0,urban,85572
3738,7,6,9,16,0,0,luxury,240902
1286,2,1,3,11,0,0,rural,11300
1016,2,1,7,10,1,0,suburban,26478
3207,6,5,9,5,2,0,luxury,234769
1950,3,2,9,20,3,0,urban,104644
3725,7,6,8,18,2,1,luxury,234605
3709,7,6,9,3,3,1,luxury,266083
2356,4,3,7,8,0,0,urban,86245
2547,5,4,7,16,0,0,urban,97231
2714,5,4,9,11,0,0,luxury,167753
2156,4,3,9,22,2,0,urban,110139
812,1,1,5,19,2,0,rural,11394
960,1,1,4,16,3,0,rural,11923
1069,2,1,5,3,0,0,suburban,19491
1332,2,1,3,10,2,0,rural,12243
2180,4,3,8,12,2,0,urban,92058
2993,5,4,10,25,2,0,luxury,211808
2762,5,4,8,1,0,0,urban,115187
844,1,1,6,1,3,0,rural,15804
1420,2,1,4,6,0,0,rural,17551
973,1,1,6,12,0,0,rural,17355
2572,5,4,10,17,2,0,urban,150507
1883,3,2,5,16,1,0,suburban,35745
1469,2,1,5,4,1,0,rural,21963
1488,2,1,5,7,3,0,rural,24091
4152,8,7,10,10,1,0,luxury,303352
2283,4,3,8,17,1,0,urban,102282
3590,7,6,9,22,0,0,luxury,255535
1002,2,1,6,14,0,0,suburban,24542
4174,8,7,9,1,2,0,luxury,288744
3109,6,5,10,8,2,1,luxury,233043
1301,2,1,6,15,1,0,rural,21455
1823,3,2,5,22,1,0,suburban,35018
1098,2,1,6,0,2,0,rural,18430
2209,4,3,10,18,0,0,urban,128846
1937,3,2,8,10,2,0,urban,76722
1668,3,2,8,19,0,0,suburban,48498
1233,2,1,5,14,2,0,rural,18140
850,1,1,3,7,2,0,rural,7939
1266,2,1,8,15,1,0,suburban,39936
2193,4,3,7,9,1,0,urban,88512
2577,5,4,7,23,0,0,urban,93746
1814,3,2,5,13,2,0,suburban,38357
4335,8,7,10,22,2,0,luxury,353882
3560,7,6,9,12,1,1,luxury,250361
1669,3,2,7,17,1,0,suburban,46236
744,1,1,3,16,1,0,rural,7262
1206,2,1,3,0,3,0,rural,11748
1471,2,1,4,16,3,0,rural,15906
854,1,1,5,11,1,0,rural,14041
1442,2,1,7,25,0,0,suburban,39446
782,1,1,3,22,1,0,rural,6775
1588,3,2,8,24,1,0,suburban,48318
3261,6,5,8,2,3,1,luxury,181027
1895,3,2,8,25,2,0,suburban,62747
2298,4,3,9,11,1,0,urban,112743
1916,3,2,8,9,3,0,urban,89168
2718,5,4,8,23,3,0,urban,116393
926,1,1,4,0,1,0,rural,11752
2830,5,4,9,25,3,0,urban,143729
1279,2,1,6,13,1,0,suburban,33133
2747,5,4,9,19,1,0,urban,131290
2547,5,4,10,2,2,0,luxury,205402
1072,2,1,7,7,0,0,suburban,30106
1838,3,2,8,0,2,0,suburban,54866
2696,5,4,8,1,1,1,luxury,149094
1433,2,1,5,22,1,0,rural,23119
1384,2,1,6,16,2,0,suburban,35945
2202,4,3,8,8,0,0,urban,92515
3466,6,5,10,14,3,0,luxury,254019
1305,2,1,4,0,1,0,rural,15849
2621,5,4,8,23,3,0,urban,124674
1323,2,1,4,9,2,0,rural,15516
1671,3,2,6,7,1,0,suburban,36132
1168,2,1,4,10,2,0,rural,13610
3736,7,6,10,8,3,1,luxury,276859
1061,2,1,6,17,2,0,suburban,23913
1236,2,1,6,8,1,0,suburban,31240
1249,2,1,6,21,2,0,rural,20627
3002,6,5,10,24,2,0,luxury,227108
1714,3,2,10,21,2,0,urban,99613
4485,8,7,8,14,0,1,luxury,257919
1136,2,1,5,7,3,0,suburban,23811
2289,4,3,7,3,1,0,urban,85462
976,1,1,3,11,2,0,rural,8453
1930,3,2,8,9,1,0,suburban,58431
1428,2,1,7,2,2,0,suburban,38726
1696,3,2,6,11,1,0,suburban,41292
1177,2,1,8,12,2,0,suburban,35114
885,1,1,3,16,0,0,rural,8103
3236,6,5,9,1,0,1,luxury,233055
1166,2,1,5,24,0,0,suburban,23699
3117,6,5,8,3,1,1,luxury,202634
1549,3,2,6,24,1,0,suburban,39604
1194,2,1,3,10,0,0,rural,10144
1201,2,1,3,4,3,0,rural,10268
1663,3,2,8,15,2,0,suburban,56197
1520,3,2,6,15,2,0,suburban,39740
2540,5,4,7,12,1,0,urban,92568
1748,3,2,9,16,2,0,urban,90214
1658,3,2,8,7,3,0,urban,69861
2841,5,4,8,15,3,0,luxury,161898
2943,5,4,9,0,2,0,luxury,187167
2596,5,4,7,8,0,0,urban,97524
3611,7,6,9,8,0,1,luxury,250447
4018,8,7,8,21,2,1,luxury,263818
1652,3,2,9,21,3,0,urban,81642
4162,8,7,10,21,1,0,luxury,320540
1648,3,2,8,21,3,0,suburban,57065
2433,4,3,9,14,3,0,urban,115106
3723,7,6,8,5,1,0,luxury,220257
1303,2,1,6,6,0,0,suburban,33749
1554,3,2,6,9,3,0,suburban,36628
1096,2,1,7,11,0,0,suburban,31721
3940,7,6,9,10,2,1,luxury,273340
1040,2,1,3,4,3,0,rural,9486
1818,3,2,8,5,0,0,suburban,60408
1340,2,1,7,21,0,0,suburban,34101
2511,5,4,9,7,0,1,luxury,181975
1901,3,2,8,15,0,0,urban,85393
2887,5,4,9,25,3,1,luxury,187457
1338,2,1,7,25,1,0,suburban,36253
922,1,1,4,1,3,0,rural,12096
1158,2,1,8,25,0,0,suburban,34666
2799,5,4,10,16,1,0,luxury,218667
1339,2,1,5,1,2,0,rural,20874
938,1,1,4,14,1,0,rural,12060
1087,2,1,3,14,2,0,rural,8895
1111,2,1,4,1,2,0,rural,12246
849,1,1,6,19,3,0,rural,15757
1238,2,1,5,16,2,0,rural,18250
1728,3,2,9,19,2,0,urban,78698
2706,5,4,8,5,1,0,urban,124803
4384,8,7,10,23,1,0,luxury,355588
1921,3,2,6,16,2,0,suburban,45676
2039,4,3,9,4,1,0,urban,92989
2802,5,4,7,17,3,0,urban,111904
2679,5,4,10,11,0,1,luxury,197129
1499,2,1,5,21,0,0,rural,24366
2572,5,4,7,20,0,0,urban,104965
2794,5,4,9,5,0,0,luxury,177086
1248,2,1,6,18,1,0,rural,21651
2791,5,4,8,21,2,0,urban,133674
1496,2,1,7,2,0,0,suburban,45763
1715,3,2,5,4,2,0,suburban,34567
4257,8,7,10,1,1,1,luxury,308319
2457,4,3,9,19,1,0,urban,131745
1055,2,1,6,7,0,0,rural,20244
1884,3,2,7,17,2,0,suburban,53461
1092,2,1,3,16,1,0,rural,9381
2505,5,4,8,18,1,0,luxury,141003
754,1,1,3,8,2,0,rural,6157
1908,3,2,5,5,0,0,suburban,36480
2674,5,4,9,15,0,0,luxury,187778
1868,3,2,7,0,1,0,urban,71467
858,1,1,4,21,3,0,rural,10066
1581,3,2,5,11,3,0,suburban,30851
3792,7,6,8,3,0,0,luxury,222739
2588,5,4,10,25,2,0,urban,149582
2309,4,3,8,3,3,0,urban,95992
1241,2,1,5,16,0,0,rural,17833
1618,3,2,7,0,0,0,urban,65203
3174,6,5,8,9,0,1,luxury,172818
1974,3,2,7,14,0,0,suburban,59227
1949,3,2,7,23,0,0,suburban,57698
1494,2,1,5,13,2,0,suburban,28889
1499,2,1,3,20,3,0,rural,13412
2294,4,3,8,11,2,0,urban,103621
1925,3,2,8,6,2,0,suburban,65504
1269,2,1,4,12,1,0,rural,14596
1890,3,2,7,12,1,0,suburban,58010
1151,2,1,5,18,3,0,suburban,20749
2802,5,4,7,18,3,0,urban,104236
1350,2,1,5,23,2,0,rural,19778
2487,4,3,7,10,0,0,urban,95975
2242,4,3,10,25,1,0,urban,129561
1588,3,2,7,12,2,0,urban,55405
2285,4,3,9,2,1,0,urban,112307
3308,6,5,8,6,0,1,luxury,202612
1195,2,1,6,9,3,0,rural,22845
3433,6,5,8,15,3,1,luxury,195424
1522,3,2,7,7,2,0,urban,60835
3017,6,5,10,4,3,1,luxury,213255
2845,5,4,9,19,2,0,urban,141223
1476,2,1,6,24,2,0,suburban,33857
2214,4,3,10,20,1,0,urban,121553
2245,4,3,10,8,3,0,urban,119797
2541,5,4,9,23,3,1,luxury,172084
1026,2,1,5,14,2,0,rural,16875
3920,7,6,8,23,3,0,luxury,257237
2813,5,4,10,23,3,0,luxury,197546
1400,2,1,5,14,1,0,rural,19649
2605,5,4,9,14,0,0,urban,119077
1207,2,1,3,20,1,0,rural,11563
1348,2,1,5,21,1,0,suburban,26000
4155,8,7,10,25,0,0,luxury,288108
1255,2,1,6,4,2,0,rural,21180
1056,2,1,8,4,3,0,suburban,37034
2632,5,4,10,9,1,1,luxury,188838
1363,2,1,7,5,0,0,suburban,35315
3656,7,6,9,18,0,1,luxury,255244
1355,2,1,7,18,3,0,suburban,36231
1079,2,1,7,8,2,0,suburban,30594
2820,5,4,7,23,3,0,urban,108023
1900,3,2,7,23,2,0,suburban,50345
1312,2,1,5,24,0,0,rural,21274
2103,4,3,10,15,2,0,urban,108296
4209,8,7,8,25,1,0,luxury,269719
1865,3,2,7,20,2,0,urban,68477
1007,2,1,6,3,1,0,suburban,22882
1602,3,2,8,0,2,0,suburban,55914
1366,2,1,4,14,0,0,rural,16691
1912,3,2,9,4,2,0,urban,99882
1773,3,2,8,10,2,0,urban,76003
1350,2,1,7,17,2,0,suburban,35214
910,1,1,4,6,0,0,rural,10768
1333,2,1,3,13,0,0,rural,12949
2593,5,4,10,24,3,0,luxury,182517
4151,8,7,10,19,0,1,luxury,294960
2424,4,3,9,12,3,0,urban,125420
2764,5,4,9,0,1,0,urban,142115
3337,6,5,8,12,2,1,luxury,188138
1692,3,2,7,7,1,0,urban,68397
4072,8,7,10,14,3,1,luxury,308104
1460,2,1,5,0,1,0,rural,20952
1831,3,2,5,11,0,0,suburban,37840
1885,3,2,6,22,2,0,suburban,42830
2875,5,4,7,25,1,0,urban,121289
1254,2,1,8,12,1,0,suburban,36526
1443,2,1,3,25,1,0,rural,12170
3397,6,5,8,5,2,1,luxury,215508
1235,2,1,7,0,3,0,suburban,36595
2829,5,4,10,10,2,1,luxury,218736
3881,7,6,10,23,3,0,luxury,282301
1167,2,1,7,0,1,0,suburban,35486
3578,7,6,10,2,3,1,luxury,265738
1108,2,1,5,24,2,0,rural,16455
1528,3,2,8,4,0,0,suburban,47815
1992,3,2,8,17,2,0,suburban,59285
2785,5,4,9,13,1,0,urban,146070
2854,5,4,9,14,1,0,urban,139682
2818,5,4,7,4,1,0,urban,114237
3621,7,6,8,13,0,0,luxury,215683
3471,6,5,10,8,2,0,luxury,261335
1640,3,2,7,23,3,0,suburban,46423
3180,6,5,8,13,0,1,luxury,190616
2302,4,3,9,12,3,0,urban,103782
3414,6,5,8,16,1,1,luxury,191278
4034,8,7,8,10,2,1,luxury,238541
4264,8,7,8,15,0,1,luxury,265634
1405,2,1,8,22,3,0,suburban,43286
1165,2,1,6,2,2,0,rural,22232
3792,7,6,8,19,1,0,luxury,248341
4047,8,7,9,0,0,0,luxury,298119
763,1,1,6,23,0,0,rural,13399
1244,2,1,3,14,0,0,rural,10717
2010,4,3,10,12,1,0,urban,114855
744,1,1,3,25,0,0,rural,6793
1166,2,1,5,19,0,0,suburban,24240
1472,2,1,6,0,3,0,suburban,36650
1084,2,1,5,22,0,0,rural,17352
1444,2,1,6,17,2,0,suburban,33775
1151,2,1,4,23,1,0,rural,12990
1908,3,2,8,16,3,0,suburban,56605
1790,3,2,8,22,0,0,suburban,52508
2102,4,3,10,16,3,0,urban,104592
2206,4,3,7,16,2,0,urban,78434
1801,3,2,10,13,0,0,urban,92342
2688,5,4,8,15,0,0,urban,119320
734,1,1,4,8,1,0,rural,8951
2884,5,4,9,16,1,0,urban,155199
1356,2,1,7,3,0,0,suburban,40114
1856,3,2,8,20,0,0,urban,79844
1038,2,1,4,22,3,0,rural,13102
1741,3,2,7,19,2,0,urban,65075
1962,3,2,8,17,3,0,suburban,64269
1736,3,2,5,19,3,0,suburban,32497
3180,6,5,9,5,2,1,luxury,229450
1345,2,1,7,5,3,0,suburban,36128
1326,2,1,5,6,1,0,suburban,27442
4119,8,7,9,6,1,0,luxury,291848
2668,5,4,9,3,0,0,urban,132180
4177,8,7,10,13,0,1,luxury,338120
