area,bedrooms,bathrooms,location_rating,age,garage,pool,zone,price
2160,4,3,9,3,2,0,urban,123000
3150,5,4,10,2,2,1,luxury,260000
810,1,1,4,20,0,0,rural,35500
2520,4,3,9,3,2,0,urban,150000
1370,3,2,7,7,0,0,suburban,65500
1760,3,2,8,6,1,0,urban,87500
2070,4,3,9,3,1,1,urban,124000
3900,6,5,10,2,3,1,luxury,355000
940,2,1,5,16,0,0,rural,44500
1590,3,2,7,7,1,0,suburban,74500
2320,4,3,9,2,2,1,urban,139000
1270,2,2,6,10,0,0,suburban,59500
2940,5,4,10,2,2,1,luxury,232000
1870,4,2,8,5,1,0,urban,99000
1170,2,1,6,11,0,0,suburban,55500
2730,5,4,9,4,2,1,luxury,216000
1500,3,2,7,8,1,0,suburban,71500
2230,4,3,9,3,2,0,urban,130000
3280,5,5,10,1,3,1,luxury,278000
970,2,1,5,16,0,0,rural,44000
1690,3,2,8,6,1,0,urban,89500
2380,4,3,9,2,2,1,urban,141000
1290,2,2,6,10,0,0,suburban,60000
4100,6,5,10,1,3,1,luxury,375000
1410,3,2,7,8,0,0,suburban,67000
1570,3,2,7,7,1,0,suburban,75000
2270,4,3,9,3,2,0,urban,134000
1030,2,1,5,13,0,0,rural,48000
2870,5,4,10,2,2,1,luxury,227000
1425,3,2,7,8,0,0,suburban,66000
4300,6,6,10,1,3,1,luxury,400000
2130,4,3,9,4,2,0,urban,122000
1660,3,2,8,5,1,0,urban,92000
880,2,1,4,21,0,0,rural,39000
2490,4,3,9,3,2,1,urban,148000
3480,6,5,10,1,3,1,luxury,318000
1155,2,1,6,11,0,0,suburban,54500
2030,4,3,9,3,1,0,urban,116000
1495,3,2,7,8,1,0,suburban,70200
760,1,1,3,26,0,0,rural,30500
2760,5,4,9,3,2,1,luxury,214000
1360,3,2,7,7,0,0,suburban,65000
1830,4,2,8,5,1,0,urban,97000
2590,5,4,9,4,2,1,luxury,204000
1085,2,1,5,13,0,0,rural,49000
1465,3,2,7,8,1,0,suburban,69800
2170,4,3,9,3,2,0,urban,124000
3170,5,4,10,2,2,1,luxury,262000
820,1,1,4,20,0,0,rural,36500
2535,4,3,9,3,2,0,urban,151000
1375,3,2,7,7,0,0,suburban,65500
1765,3,2,8,6,1,0,urban,87000
2075,4,3,9,3,1,1,urban,126000
3920,6,5,10,2,3,1,luxury,358000
945,2,1,5,16,0,0,rural,44800
1595,3,2,7,7,1,0,suburban,74800
2325,4,3,9,2,2,1,urban,140000
1275,2,2,6,10,0,0,suburban,59800
2945,5,4,10,2,2,1,luxury,233000
1875,4,2,8,5,1,0,urban,99500
1175,2,1,6,11,0,0,suburban,55800
2735,5,4,9,4,2,1,luxury,217000
1505,3,2,7,8,1,0,suburban,71800
2235,4,3,9,3,2,0,urban,131000
3290,5,5,10,1,3,1,luxury,279000
975,2,1,5,16,0,0,rural,44200
1695,3,2,8,6,1,0,urban,89800
2385,4,3,9,2,2,1,urban,142000
1295,2,2,6,10,0,0,suburban,60200
4150,6,5,10,1,3,1,luxury,380000
1415,3,2,7,8,0,0,suburban,67200
1575,3,2,7,7,1,0,suburban,75200
2275,4,3,9,3,2,0,urban,134500
1035,2,1,5,13,0,0,rural,48200
2875,5,4,10,2,2,1,luxury,228500
1428,3,2,7,8,0,0,suburban,66200
4350,6,6,10,1,3,1,luxury,405000
2135,4,3,9,4,2,0,urban,122500
1665,3,2,8,5,1,0,urban,92500
885,2,1,4,21,0,0,rural,39500
2495,4,3,9,3,2,1,urban,149000
3490,6,5,10,1,3,1,luxury,320000
